number,name,link,lat,lng
01,Messe Frankfurt,https://www.messefrankfurt.com/frankfurt/de.html,50.11144264743271, 8.647500987857487
02,Messeturm,https://messeturm.com/,50.11237947483966, 8.652877614187519
03,Main Tower,https://www.maintower.de/,50.11252035114202, 8.672291793944401
